Neighbourhood,Neighbourhood Id,Combined Indicators,Total Population,Low Income Families,Percentage
West Humber-Clairville,1,N/A,33312,3790,0.113772815
Mount Olive-Silverstone-Jamestown,2,N/A,32954,5010,0.152030103
Thistletown-Beaumond Heights,3,N/A,10360,1080,0.104247104
Rexdale-Kipling,4,N/A,10529,1110,0.105423117
Elms-Old Rexdale,5,N/A,9456,1190,0.125846024
Kingsview Village-The Westway,6,N/A,22000,2800,0.127272727
Willowridge-Martingrove-Richview,7,N/A,22156,1610,0.072666546
Humber Heights-Westmount,8,N/A,10948,820,0.074899525
Edenbridge-Humber Valley,9,N/A,15535,900,0.057933698
Princess-Rosethorn,10,N/A,11051,460,0.041625192
Eringate-Centennial-West Deane,11,N/A,18588,1060,0.057026038
Markland Wood,12,N/A,10554,510,0.048322911
Etobicoke West Mall,13,N/A,11848,980,0.082714382
Islington-City Centre West,14,N/A,43965,6140,0.139656545
Kingsway South,15,N/A,9271,260,0.02804444
Stonegate-Queensway,16,N/A,25051,1740,0.069458305
Mimico,17,N/A,33964,2720,0.080084796
New Toronto,18,N/A,11463,1430,0.124749193
Long Branch,19,N/A,10084,940,0.093216977
Alderwood,20,N/A,12054,640,0.053094408
Humber Summit,21,N/A,12416,1570,0.126449742
Humbermede,22,N/A,15545,1860,0.119652621
Pelmo Park-Humberlea,23,N/A,10722,710,0.066218989
Black Creek,24,N/A,21737,3680,0.169296591
Glenfield-Jane Heights,25,N/A,30491,4420,0.144960808
Downsview-Roding-CFB,26,N/A,35052,4060,0.115827913
York University Heights,27,N/A,27593,4490,0.16272243
Rustic,28,N/A,9941,1340,0.134795292
Maple Leaf,29,N/A,10111,880,0.087033923
Brookhaven-Amesbury,30,N/A,17757,2320,0.1306527
Yorkdale-Glen Park,31,N/A,14804,1470,0.099297487
Englemount-Lawrence,32,N/A,22372,2470,0.110405864
Clanton Park,33,N/A,16472,1410,0.085599806
Bathurst Manor,34,N/A,15873,1440,0.090720091
Westminster-Branson,35,N/A,26274,3500,0.13321154
Newtonbrook West,36,N/A,23831,3480,0.146028282
Willowdale West,37,N/A,16936,1670,0.098606519
Lansing-Westgate,38,N/A,16164,7560,0.467706013
Bedford Park-Nortown,39,N/A,23236,1340,0.057669134
St.Andrew-Windfields,40,N/A,17812,1590,0.089265664
Bridle Path-Sunnybrook-York Mills,41,N/A,9266,460,0.049643859
Banbury-Don Mills,42,N/A,27695,2000,0.072215201
Victoria Village,43,N/A,17510,2040,0.116504854
Flemingdon Park,44,N/A,21933,3290,0.15000228
Parkwoods-Donalda,45,N/A,34805,3370,0.096825169
Pleasant View,46,N/A,15818,1730,0.109369073
Don Valley Village,47,N/A,27051,3430,0.126797531
Hillcrest Village,48,N/A,16934,2180,0.128735089
Bayview Woods-Steeles,49,N/A,13154,1420,0.107951954
Newtonbrook East,50,N/A,16097,2380,0.147853637
Willowdale East,51,N/A,50434,6260,0.124122616
Bayview Village,52,N/A,21396,2090,0.09768181
Henry Farm,53,N/A,15723,2060,0.131018254
O'Connor-Parkview,54,N/A,18675,2000,0.107095047
Thorncliffe Park,55,N/A,21108,3030,0.14354747
Leaside-Bennington,56,N/A,16828,590,0.035060613
Broadview North,57,N/A,11499,1250,0.108705105
Old East York,58,N/A,9233,630,0.06823351
Danforth-East York,59,N/A,17180,1250,0.072759022
Woodbine-Lumsden,60,N/A,7865,660,0.083916084
Taylor-Massey,61,N/A,15683,2350,0.14984378
East End-Danforth,62,N/A,21381,2030,0.094944109
The Beaches,63,N/A,21567,1150,0.053322205
Woodbine Corridor,64,N/A,12541,1060,0.084522765
Greenwood-Coxwell,65,N/A,14417,1610,0.111673719
Danforth,66,N/A,9666,840,0.086902545
Playter Estates-Danforth,67,N/A,7804,570,0.073039467
North Riverdale,68,N/A,11916,870,0.073011078
Blake-Jones,69,N/A,7727,990,0.128122169
South Riverdale,70,N/A,27876,3060,0.109771847
Cabbagetown-South St.James Town,71,N/A,11669,1390,0.119119033
Regent Park,72,N/A,10803,2360,0.218457836
Moss Park,73,N/A,20506,3540,0.1726324
North St.James Town,74,N/A,18615,3450,0.185334408
Church-Yonge Corridor,75,N/A,31340,3860,0.123165284
Bay Street Corridor,76,N/A,25797,10050,0.389580184
Waterfront Communities-The Island,77,N/A,65913,4480,0.067968383
Kensington-Chinatown,78,N/A,17945,3690,0.205628309
University,79,N/A,7607,1180,0.155120284
Palmerston-Little Italy,80,N/A,13826,1280,0.092579199
Trinity-Bellwoods,81,N/A,16556,1990,0.120198115
Niagara,82,N/A,31180,1730,0.055484285
Dufferin Grove,83,N/A,11785,1310,0.111158252
Little Portugal,84,N/A,15559,1300,0.083552928
South Parkdale,85,N/A,21849,3640,0.166598014
Roncesvalles,86,N/A,14974,1680,0.11219447
High Park-Swansea,87,N/A,23925,1350,0.056426332
High Park North,88,N/A,22162,1810,0.081671329
Runnymede-Bloor West Village,89,N/A,10070,410,0.040714995
Junction Area,90,N/A,14366,1350,0.093971878
Weston-Pellam Park,91,N/A,11098,1530,0.137862678
Corso Italia-Davenport,92,N/A,14133,1210,0.085615227
Dovercourt-Wallace Emerson-Juncti,93,N/A,36625,3860,0.105392491
Wychwood,94,N/A,14349,1220,0.085023347
Annex,95,N/A,30526,3110,0.101880364
Casa Loma,96,N/A,10968,630,0.057439825
Yonge-St.Clair,97,N/A,12528,680,0.054278416
Rosedale-Moore Park,98,N/A,20923,1120,0.053529609
Mount Pleasant East,99,N/A,16775,760,0.045305514
Yonge-Eglinton,100,N/A,11817,770,0.065160362
Forest Hill South,101,N/A,10732,550,0.051248602
Forest Hill North,102,N/A,12806,1020,0.079650164
Lawrence Park South,103,N/A,15179,580,0.038210686
Mount Pleasant West,104,N/A,29658,3220,0.108571043
Lawrence Park North,105,N/A,14607,590,0.040391593
Humewood-Cedarvale,106,N/A,14365,1190,0.082840237
Oakwood Village,107,N/A,21210,2280,0.107496464
Briar Hill-Belgravia,108,N/A,14257,1670,0.117135442
Caledonia-Fairbank,109,N/A,9955,930,0.093420392
Keelesdale-Eglinton West,110,N/A,11058,1080,0.097666848
Rockcliffe-Smythe,111,N/A,22246,2640,0.11867302
Beechborough-Greenbrook,112,N/A,6577,950,0.144442755
Weston,113,N/A,17992,2650,0.147287683
Lambton Baby Point,114,N/A,7985,690,0.086412023
Mount Dennis,115,N/A,13593,1930,0.141984845
Steeles,116,N/A,24623,3520,0.142955773
L'Amoreaux,117,N/A,43993,5840,0.132748392
Tam O'Shanter-Sullivan,118,N/A,27446,3100,0.112949064
Wexford/Maryvale,119,N/A,27917,2670,0.095640649
Clairlea-Birchmount,120,N/A,26984,2680,0.099318114
Oakridge,121,N/A,13845,2570,0.18562658
Birchcliffe-Cliffside,122,N/A,22291,1790,0.080301467
Cliffcrest,123,N/A,15935,1290,0.080953875
Kennedy Park,124,N/A,17123,2450,0.143082404
Ionview,125,N/A,13641,1690,0.12389121
Dorset Park,126,N/A,25003,3010,0.120385554
Bendale,127,N/A,29960,3170,0.105807744
Agincourt South-Malvern West,128,N/A,23757,3110,0.130908785
Agincourt North,129,N/A,29113,3980,0.136708687
Milliken,130,N/A,26572,3960,0.149029053
Rouge,131,N/A,46496,3760,0.080867171
Malvern,132,N/A,43794,5170,0.118052701
Centennial Scarborough,133,N/A,13362,690,0.051638976
Highland Creek,134,N/A,12494,1110,0.088842644
Morningside,135,N/A,17455,2140,0.122600974
West Hill,136,N/A,27392,3710,0.135441005
Woburn,137,N/A,53485,6860,0.12826026
Eglinton East,138,N/A,22776,2930,0.128644187
Scarborough Village,139,N/A,16724,2400,0.143506338
Guildwood,140,N/A,9917,440,0.044368257
